"PARK_ID","TYPE","SUMMER_USE","LIGHTS","NAME","ADDRESS"
"323","Puddle","","","EVERGREEN PARK","906 DENISON CRES Old Ottawa"
"1626","Highboard with puddle","","","WEST WIND FARMS PARK","85 HARTSMERE DR Goulbourn"
"1682","Puddle","","","CARDINAL CREEK PARK","2130 VALIN ST Cumberland"
"0","Puddle","","","STONEBRIDGE GOLF AND COUNTRY CLUB","68 HAWKTREE RIDGE Nepean"
"1801","Puddle","","","WALDEN PARK","130 WALDEN DR Kanata"
"2119","Highboard with puddle","","","SPRATT PARK","4191 SPRATT ROAD Gloucester"
"3","Puddle Rink","","","KENSON PARK","1265 ADIRONDACK DR Old Ottawa"
"1656","Highboard with puddle","","","BERRY GLEN PARK","36 BERRY GLEN ST Nepean"
"1661","Highboard with puddle","","permanent","CRESTHAVEN PARK","28 CRESTHAVEN DRIVE Nepean"
"1652","Highboard with puddle","","permanent","GROVEHURST PARK","100 GROVEHURST DR Nepean"
"1678","Highboard with puddle","","permanent","PORTOBELLO PARK","670 AQUAVIEW DR Cumberland"
"155","Puddle Rink","","","HAROLD DICEMAN PARK","30 DICEMAN CRES Gloucester"
"1732","","","","UPCOUNTRY PARK","310 UPCOUNTRY DR Goulbourn"
"589","","","","VERNON RECREATION CENTRE","7950 LAWRENCE ST Osgoode"
"1003","","","","ALEXANDER PARK","960 SILVER ST Old Ottawa"
"1007","","","","","1779 ST. BARBARA ST Gloucester"
"1149","","","","","243 WALDEN DR Kanata"
"1672","","","","BLACK TERN PARK","53 BLACK TERN CRESCENT Kanata"
"344","","","","CHAMPAGNE PARK","1861 MARKWELL CRES Gloucester"
"300","","","","CUMMINGS PARK (GLOUCESTER)","980 CUMMINGS AVE Gloucester"
"386","","","","FALLINGBROOK PARK","681 DEANCOURT CRES Cumberland"
"420","","","","","2001 GARDENWAY DR Cumberland"
"234","","","","","107 CHESTERTON DR Nepean"
"2132","","","","","4380 WILDMINT SQ Gloucester"
"456","","","","","1145 GREENLAWN CRES Old Ottawa"
"106","","","","LUC MAJOR PARK","956 BILBERRY DR Gloucester"
"698","","","","","1025 MEADOWLANDS DR Old Ottawa"
"826","","","","MARLBOROUGH PARK","6836 MALAKOFF RD Rideau"
"757","","","","OGILVIE NORTH PARK","1059 OGILVIE RD Gloucester"
"1142","","","","VILLAGE GREEN","270 SPRINGFIELD RD Rockcliffe Park"
"348","","","","WILFRED MURRAY PARK / R.J. KENNEDY COMMUNITY HALL AND ARENA","1115 DUNNING RD Cumberland"
"1182","","","","FRANCOIS DUPONT PARK","778 WILLOW AVE Cumberland"
"971","","","","HUTTON  PARK","1830 HUTTON AVE Old Ottawa"
"591","","","","MARSHA PARK","855 LAWNSBERRY DR Cumberland"
"1191","","","","","72 MEDHURST DR Nepean"
